college,courses
Acharya Narendra Dev College,B.Com. (H)
Acharya Narendra Dev College,B.Sc. (H) Biomedical Science
Acharya Narendra Dev College,B.Sc. (H) Botany
Acharya Narendra Dev College,B.Sc. (H) Chemistry
Acharya Narendra Dev College,B.Sc. (H) Computer Science
Acharya Narendra Dev College,B.Sc. (H) Electronics
Acharya Narendra Dev College,B.Sc. (H) Mathematics
Acharya Narendra Dev College,B.Sc. (H) Physics
Acharya Narendra Dev College,B.Sc. (H) Zoology
Acharya Narendra Dev College,B.Sc. Life Sciences
Acharya Narendra Dev College,B.Sc. Physical Science with Chemistry
Acharya Narendra Dev College,B.Sc. Physical Science with Computer Science
Acharya Narendra Dev College,B.Sc. Physical Science with Electronics
Aditi Mahavidyalaya(W),B.A. (Prog.)
Aditi Mahavidyalaya(W),B.A. (H) Geography
Aditi Mahavidyalaya(W),B.A. (H) Hindi Journalism
Aditi Mahavidyalaya(W),B.A. (H) Social Work
Aditi Mahavidyalaya(W),B.Com (H)
Aditi Mahavidyalaya(W),B.Com (Prog.)
Aditi Mahavidyalaya(W),Bachelor of Elementary Education (B.El.Ed.)
Aryabhatta College,B.A. (H) Economics
Aryabhatta College,B.A. (H) English
Aryabhatta College,B.A. (H) Hindi
Aryabhatta College,B.A. (H) History
Aryabhatta College,B.A. (H) Political Science
Aryabhatta College,B.A. (H) Psychology
Aryabhatta College,B.Sc.(H) Computer Science
Aryabhatta College,B.Sc. (H) Mathematics
Aryabhatta College,B. Com. (H)
Aryabhatta College,B.Com.
Aryabhatta College,B.A. (Prog.) (History + Political Science)
Aryabhatta College,B.A.(H) Business Economics
Aryabhatta College,B.A.chelor of Management Studies (BMS)
Atma Ram Sanatan Dharma College,B.Com.
Atma Ram Sanatan Dharma College,B.Com. (H)
Atma Ram Sanatan Dharma College,B.A. Prog.
Atma Ram Sanatan Dharma College,B.A. (H) English
Atma Ram Sanatan Dharma College,B.A. (H) Hindi
Atma Ram Sanatan Dharma College,B.A. (H) History
Atma Ram Sanatan Dharma College,B.A. (H) Political Science
Atma Ram Sanatan Dharma College,B.A. (H) Economics
Atma Ram Sanatan Dharma College,B. Sc. (H) Physics
Atma Ram Sanatan Dharma College,B. Sc. (H) Chemistry
Atma Ram Sanatan Dharma College,B. Sc. (H) Mathematics
Atma Ram Sanatan Dharma College,B. Sc. (H) Electronics
