college,courses
Acharya Narendra Dev College,bachelor of commerce (H)
Acharya Narendra Dev College,bachelor of sciences (H) Biomedical Science
Acharya Narendra Dev College,bachelor of sciences (H) Botany
Acharya Narendra Dev College,bachelor of sciences (H) Chemistry
Acharya Narendra Dev College,bachelor of sciences (H) Computer Science
Acharya Narendra Dev College,bachelor of sciences (H) Electronics
Acharya Narendra Dev College,bachelor of sciences (H) Mathematics
Acharya Narendra Dev College,bachelor of sciences (H) Physics
Acharya Narendra Dev College,bachelor of sciences (H) Zoology
Acharya Narendra Dev College,bachelor of sciences Life Sciences
Acharya Narendra Dev College,bachelor of sciences Physical Science with Chemistry
Acharya Narendra Dev College,bachelor of sciences Physical Science with Computer Science
Acharya Narendra Dev College,bachelor of sciences Physical Science with Electronics
Aditi Mahavidyalaya(W),bachelor of arts (Prog.)
Aditi Mahavidyalaya(W),bachelor of arts (H) Geography
Aditi Mahavidyalaya(W),bachelor of arts (H) Hindi Journalism
Aditi Mahavidyalaya(W),bachelor of arts (H) Social Work
Aditi Mahavidyalaya(W),bachelor of commerce (H)
Aditi Mahavidyalaya(W),bachelor of commerce
Aditi Mahavidyalaya(W),Bachelor of Elementary Education (B.El.Ed.)
Aryabhatta College,bachelor of arts (H) Economics
Aryabhatta College,bachelor of arts (H) English
Aryabhatta College,bachelor of arts (H) Hindi
Aryabhatta College,bachelor of arts (H) History
Aryabhatta College,bachelor of arts (H) Political Science
Aryabhatta College,bachelor of arts (H) Psychology
Aryabhatta College,bachelor of sciences(H) Computer Science
Aryabhatta College,bachelor of sciences (H) Mathematics
Aryabhatta College,bachelor of commerce (H)
Aryabhatta College,bachelor of commerce
Aryabhatta College,bachelor of arts (Prog.) (History + Political Science)
Aryabhatta College,bachelor of arts(H) Business Economics
Aryabhatta College,bachelor of artschelor of Management Studies (BMS)
Atma Ram Sanatan Dharma College,bachelor of commerce
Atma Ram Sanatan Dharma College,bachelor of commerce (H)
Atma Ram Sanatan Dharma College,bachelor of arts Prog.
Atma Ram Sanatan Dharma College,bachelor of arts (H) English
Atma Ram Sanatan Dharma College,bachelor of arts (H) Hindi
Atma Ram Sanatan Dharma College,bachelor of arts (H) History
Atma Ram Sanatan Dharma College,bachelor of arts (H) Political Science
Atma Ram Sanatan Dharma College,bachelor of arts (H) Economics
Atma Ram Sanatan Dharma College,bachelor of sciences (H) Physics
Atma Ram Sanatan Dharma College,bachelor of sciences (H) Chemistry
Atma Ram Sanatan Dharma College,bachelor of sciences (H) Mathematics
Atma Ram Sanatan Dharma College,bachelor of sciences (H) Electronics
Atma Ram Sanatan Dharma College,bachelor of sciences (H) Computer Science
Atma Ram Sanatan Dharma College,bachelor of sciences (Prog.) Physical Science Chemistry
Atma Ram Sanatan Dharma College,bachelor of sciences (Prog.) Physical Science Electronics
Atma Ram Sanatan Dharma College,bachelor of sciences (Prog.) Physical Science Computer Science
Atma Ram Sanatan Dharma College,bachelor of sciences (Prog.) Applied Physical Science Industrial Chemistry
Bhagini Nivedita College,bachelor of arts (Prog.)
Bhagini Nivedita College,bachelor of commerce
Bhagini Nivedita College,bachelor of arts (H) Hindi
Bhagini Nivedita College,bachelor of arts (H) History
Bhagini Nivedita College,bachelor of arts (H) Pol. Science
Bhagini Nivedita College,bachelor of sciencesPhysical Science with Chemistry
Bhagini Nivedita College,bachelor of sciencesPhysical Science with Computer
Bhagini Nivedita College,bachelor of sciences (H) Home Science
Bhagini Nivedita College,bachelor of sciences  (H) Physics
Bharati College, bachelor of arts (H) English
Bharati College, bachelor of arts (H) Hindi
Bharati College, bachelor of arts (H) Sanskrit
Bharati College, bachelor of arts (H) History
Bharati College, bachelor of arts (H) Political Science
Bharati College, bachelor of arts (H) Journalism
Bharati College, bachelor of sciences (H) Psychology
Bharati College, bachelor of arts (H) Sociology
Bharati College, bachelor of sciences (H) Maths
Bharati College, bachelor of commerce (H)
Bharati College, bachelor of commerce (Prog.)
Bhaskaracharya College of Applied Sciences,bachelor of sciences(H) Biomedical Science
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Botany
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Chemistry
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Computer Science
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Electronics
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Food Technology
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Instrumentation
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Microbiology
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Physics
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Polymer Science
Bhaskaracharya College of Applied Sciences,bachelor of sciences (H) Zoology
College of Vocational Studies,bachelor of arts (VS) Office Management and Secretarial Practice
College of Vocational Studies,bachelor of arts (VS) Marketing Management and Retail Business
College of Vocational Studies,bachelor of arts (VS) Human Resource Management
College of Vocational Studies,bachelor of arts (VS) Small and Medium Enterprises
College of Vocational Studies,bachelor of arts (VS) Management and Marketing of Insurance
College of Vocational Studies,bachelor of arts (VS) Material Management
College of Vocational Studies,bachelor of arts (VS) Tourism Management
College of Vocational Studies,bachelor of commerce (H)
College of Vocational Studies,bachelor of arts (H) Economics
College of Vocational Studies,bachelor of arts (H) History
College of Vocational Studies,bachelor of sciences (H) Computer  Science
College of Vocational Studies,bachelor of arts (H) English
College of Vocational Studies,bachelor of arts (H) Hindi
College of Vocational Studies,bachelor of arts (H) Business Economics
College of Vocational Studies,Bchelor of Management Studies
Cluster Innovation Centre,B.Tech. (Information Technology & Mathematical Innovations)
Cluster Innovation Centre,bachelor of arts Honours (Humanities & Social Sciences)
Daulat Ram College,bachelor of arts (H) Economics
Daulat Ram College,bachelor of arts (H) English
Daulat Ram College,bachelor of arts (H) Hindi
Daulat Ram College,bachelor of arts (H) History
Daulat Ram College,bachelor of arts (H) Music
Daulat Ram College,bachelor of arts (H) Philosophy
Daulat Ram College,bachelor of arts (H) Pol. Science
Daulat Ram College,bachelor of arts (H) Psychology
Daulat Ram College,bachelor of arts (H) Sanskrit
Daulat Ram College,bachelor of arts (Prog.)
Daulat Ram College,bachelor of commerce (P)
Daulat Ram College,bachelor of commerce (H)
Daulat Ram College,bachelor of sciences (H) Biochemistry
Daulat Ram College,bachelor of sciences (H) Botany
Daulat Ram College,bachelor of sciences (H) Chemistry
Daulat Ram College,bachelor of sciences (H) Mathematics
Daulat Ram College,bachelor of sciences (H) Physics
Daulat Ram College,bachelor of sciences (H) Zoology
Daulat Ram College,bachelor of sciences Life Sciences
Deen Dayal Upadhyaya College,bachelor of arts (H) ENGLISH
Deen Dayal Upadhyaya College,bachelor of commerce (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H) 
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences (H)
Deen Dayal Upadhyaya College,bachelor of sciences LIFE SCIENCE
Deen Dayal Upadhyaya College,bachelor of sciences PHYSICAL SCIENCE WITH CHEMISTRY
Deen Dayal Upadhyaya College,bachelor of sciences PHYSICAL SCIENCE WITH COMPUTER SCIENCE
Deen Dayal Upadhyaya College,bachelor of sciences MATHEMATICAL SCIENCE
Deen Dayal Upadhyaya College,bachelor of arts (Prog)
