Name of the College,Courses Offered (UG - Merit Based),UR,OBC,EWS,Minority,SC,ST,PwD
Acharya Narendra Dev College,B.Com. (H),7965,7965,7965,7965,7965,7965,7965
Acharya Narendra Dev College,B.Sc. (H) Biomedical Science,18965,18965,18965,18965,18965,18965,2555
Acharya Narendra Dev College,B.Sc. (H) Botany,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. (H) Chemistry,8465,8465,8465,8465,8465,8465,2555
Acharya Narendra Dev College,B.Sc. (H) Computer Science,22965,22965,22965,22965,22965,22965,2555
Acharya Narendra Dev College,B.Sc. (H) Electronics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. (H) Mathematics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. (H) Physics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. (H) Zoology,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. Life Sciences,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. Physical Science with Chemistry,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. Physical Science with Computer Science,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,B.Sc. Physical Science with Electronics,7965,7965,7965,7965,7965,7965,2555
Aditi Mahavidyalaya(W),B.A. (Prog.),4160,4160,4160,4160,4160,4160,405
Aditi Mahavidyalaya(W),B.A. (H) Geography,5660,5660,5660,5660,5660,5660,405
Aditi Mahavidyalaya(W),B.A. (H) Hindi Journalism,7310,7310,7310,7310,7310,7310,405
Aditi Mahavidyalaya(W),B.A. (H) Social Work,5710,5710,5710,5710,5710,5710,405
Aditi Mahavidyalaya(W),B.Com. (H),5660,5660,5660,5660,5660,5660,405
Aditi Mahavidyalaya(W),B.Com. (Prog.),5160,5160,5160,5160,5160,5160,405
Aryabhatta College,B.A. (H) Economics,13830,13830,13830,13830,13830,13830,784
