Name of the College,Courses,Total Seats,UR,SC,ST,OBC,EWS,Minority,Whether 1% concession to be provided to women candidate(Y/N)
Acharya Narendra Dev College,B.Com. (H),125,50,19,9,34,13,NA,N
Acharya Narendra Dev College,B.Sc. (H) Biomedical Science,63,26,9,5,17,6,NA,N
Acharya Narendra Dev College,B.Sc. (H) Botany,63,26,9,5,17,6,NA,N
Acharya Narendra Dev College,B.Sc. (H) Chemistry,63,26,9,5,17,6,NA,Y
Acharya Narendra Dev College,B.Sc. (H) Computer Science,63,26,9,5,17,6,NA,Y
Acharya Narendra Dev College,B.Sc. (H) Electronics,63,26,9,5,17,6,NA,Y
Acharya Narendra Dev College,B.Sc. (H) Mathematics,63,26,9,5,17,6,NA,N
Acharya Narendra Dev College,B.Sc. (H) Physics,63,26,9,5,17,6,NA,Y
Acharya Narendra Dev College,B.Sc. (H) Zoology,63,26,9,5,17,6,NA,N
Acharya Narendra Dev College,B.Sc. Life Sciences,56,23,8,4,15,6,NA,N
Acharya Narendra Dev College,B.Sc. Physical Science with Chemistry,56,23,8,4,15,6,NA,N
Acharya Narendra Dev College,B.Sc. Physical Science with Computer Science,56,23,8,4,15,6,NA,Y
Acharya Narendra Dev College,B.Sc. Physical Science with Electronics,56,23,8,4,15,6,NA,Y
Aditi Mahavidyalaya(W),B.A. (Prog.),673,272,101,50,182,68,NA,N
Aditi Mahavidyalaya(W),B.A. (H) Geography,39,16,6,3,10,4,NA,N
Aditi Mahavidyalaya(W),B.A. (H) Hindi Journalism,56,22,8,4,15,7,NA,N
Aditi Mahavidyalaya(W),B.A. (H) Social Work,56,22,8,4,15,7,NA,N
Aditi Mahavidyalaya(W),B.Com (H),68,27,10,5,18,8,NA,N
Aditi Mahavidyalaya(W),B.Com (Prog.),56,22,8,4,15,7,NA,N
Aryabhatta College,B.A. (H) Economics,58,23,9,4,16,6,NA,N
Aryabhatta College,B.A. (H) English,58,23,9,4,16,6,NA,N
Aryabhatta College,B.A. (H) Hindi,58,23,9,4,16,6,NA,Y
Aryabhatta College,B.A. (H) History,58,23,9,4,16,6,NA,Y
Aryabhatta College,B.A. (H) Political Science,58,23,9,4,16,6,NA,Y
Aryabhatta College,B.A. (H) Psychology,58,23,9,4,16,6,NA,N
Aryabhatta College,B.Sc.(H) Computer Science,58,23,9,4,16,6,NA,Y
Aryabhatta College,B.Sc.(H) Mathematics,58,23,9,4,16,6,NA,Y
Aryabhatta College,B. Com.(H),58,23,9,4,16,6,NA,N
Aryabhatta College,B.Com.,65,26,10,5,18,6,NA,Y
Aryabhatta College,B.A. (Prog.) (History + Political Science),65,26,10,5,18,6,NA,Y
