name of the college,degree,degreetype,course,ur,obc,ews,minority,sc,st,pwd,total seats,ur,obc,ews,minority,sc,st
acharya narendra dev college,b.com.,honours,d,7965,7965,7965,7965,7965,7965,7965,125,50,34,13,na,19,9
acharya narendra dev college,b.sc. ,honours,biomedical science,18965,18965,18965,18965,18965,18965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,botany,7965,7965,7965,7965,7965,7965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,chemistry,8465,8465,8465,8465,8465,8465,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,computer science,22965,22965,22965,22965,22965,22965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,electronics,7965,7965,7965,7965,7965,7965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,mathematics,7965,7965,7965,7965,7965,7965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,physics,7965,7965,7965,7965,7965,7965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,honours,zoology,7965,7965,7965,7965,7965,7965,2555,63,26,17,6,na,9,5
acharya narendra dev college,b.sc.,d, life sciences,7965,7965,7965,7965,7965,7965,2555,56,23,15,6,na,8,4
acharya narendra dev college,b.sc.,d,physical science with chemistry,7965,7965,7965,7965,7965,7965,2555,56,23,15,6,na,8,4
acharya narendra dev college,b.sc.,d,physical science with computer science,7965,7965,7965,7965,7965,7965,2555,56,23,15,6,na,8,4
acharya narendra dev college,b.sc.,d,physical science with electronics,7965,7965,7965,7965,7965,7965,2555,56,23,15,6,na,8,4
aditi mahavidyalaya(w),b.a.,program,d,4160,4160,4160,4160,4160,4160,405,673,272,182,68,na,101,50
aditi mahavidyalaya(w),b.a.,honours,  geography,5660,5660,5660,5660,5660,5660,405,39,16,10,4,na,6,3
aditi mahavidyalaya(w),b.a.,honours,  hindi journalism,7310,7310,7310,7310,7310,7310,405,56,22,15,7,na,8,4
aditi mahavidyalaya(w),b.a.,honours,  social work,5710,5710,5710,5710,5710,5710,405,56,22,15,7,na,8,4
aditi mahavidyalaya(w),b.com.,honours,d,5660,5660,5660,5660,5660,5660,405,68,27,18,8,na,10,5
aditi mahavidyalaya(w),b.com.,program, program,5160,5160,5160,5160,5160,5160,405,56,22,15,7,na,8,4
aryabhatta college,b.a. ,honours,  economics,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.a.hindi,honours,  english,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.a.,honours,  hindi,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.a.,honours,  history,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.a.,honours,  political science,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.a.,honours,  psychology,15830,15830,15830,15830,15830,15830,784,58,23,16,6,na,9,4
aryabhatta college,b.sc.,honours, computer science,29130,29130,29130,29130,29130,29130,784,58,23,16,6,na,9,4
aryabhatta college,b.sc.,honours, mathematics,15830,15830,15830,15830,15830,15830,784,58,23,16,6,na,9,4
aryabhatta college,b.com.,honours,d,13830,13830,13830,13830,13830,13830,784,58,23,16,6,na,9,4
aryabhatta college,b.com.,program,d,13830,13830,13830,13830,13830,13830,784,65,26,18,6,na,10,5
aryabhatta college,b.a.,program,d,13830,13830,13830,13830,13830,13830,784,83,26,18,6,na,10,5
atma ram sanatan dharma college,b.com.,program,d,10785,10785,10785,10785,10785,10785,525,193,77,52,21,na,29,14
