,,,Annual Fees in Indian Rupees,,,
S.No.,Name of the College,Courses Offered (UG - Merit Based),"UR/ OBC/ EWS/
Minority",SC,ST,PwD
1,Acharya Narendra Dev College,B.Com. (H),7965,7965,7965,2555
,,B.Sc. (H) Biomedical Science,18965,18965,18965,2555
,,B.Sc. (H) Botany,7965,7965,7965,2555
,,B.Sc. (H) Chemistry,8465,8465,8465,2555
,,B.Sc. (H) Computer Science,22965,22965,22965,2555
,,B.Sc. (H) Electronics,7965,7965,7965,2555
,,B.Sc. (H) Mathematics,7965,7965,7965,2555
,,B.Sc. (H) Physics,7965,7965,7965,2555
,,B.Sc. (H) Zoology,7965,7965,7965,2555
,,B.Sc. Life Sciences,7965,7965,7965,2555
,,B.Sc. Physical Science with Chemistry,7965,7965,7965,2555
,,B.Sc. Physical Science with Computer Science,7965,7965,7965,2555
,,B.Sc. Physical Science with Electronics,7965,7965,7965,2555
2,Aditi Mahavidyalaya(W),BA (Program),4160,4160,4160,405
,,BA (Hons) Geography,5660,5660,5660,405
,,BA (Hons) Hindi Journalism,7310,7310,7310,405
,,BA (Hons) Social Work,5710,5710,5710,405
,,B.Com (Hons),5660,5660,5660,405
,,B.Com Program,5160,5160,5160,405
3,Aryabhatta College,B.A. (Honours) Economics,13830,13830,13830,784
,,B.A. (Honours) English,13830,13830,13830,784
,,B.A. (Honours) Hindi,13830,13830,13830,784
,,B.A. (Honours) History,13830,13830,13830,784
,,B.A. (Honours) Political Science,13830,13830,13830,784
,,B.A. (Honours) Psychology,15830,15830,15830,784
,,B.Sc.(Honours) Computer Science,29130,29130,29130,784
,,B.Sc.(Honours) Mathematics,15830,15830,15830,784
,,B. Com.(Honours),13830,13830,13830,784
,,B.Com.,13830,13830,13830,784
,,B. A. Programme (History + Political Science),13830,13830,13830,784
4,Atma Ram Sanatan Dharma College,B.Com.,10785,10785,10785,525
,,B.Com. ( Hons.),12185,12185,12185,525
,,B. A. Prog.,10785,10785,10785,525
,,B. A. (Hons.) English,10985,10985,10985,525
,,B.A. (Hons.) Hindi,10985,10985,10985,525
,,B. A. (Hons.) History,10985,10985,10985,525
,,B. A. (Hons.) Political Science,10985,10985,10985,525
,,B. A. (Hons.) Economics,10985,10985,10985,525
,,B. Sc. (Hons.) Physics,12075,12075,12075,525
,,B. Sc. (Hons.) Chemistry,12075,12075,12075,525
,,B. Sc. (Hons.) Mathematics,12075,12075,12075,525
,,B. Sc. (Hons.) Electronics,12075,12075,12075,525
,,B. Sc. (Hons.) Computer Science,50500,50500,50500,38200
,,B. Sc. (Prog.) Physical Science Chemistry,13345,13345,13345,525
,,B. Sc. (Prog.) Physical Science Electronics,13345,13345,13345,525
,,B. Sc. (Prog.) Physical Science Computer Science,13345,13345,13345,525
,,"B. Sc. (Prog.) Applied Physical Science Industrial
Chemistry",13345,13345,13345,525
5,Bhagini Nivedita College,B.A. Programme,6060,6060,6060,170
,,B. Com.,5260,5260,5260,170
,,B.A. (Hons.) Hindi,5260,5260,5260,170
,,B.A. (Hons.) History,5260,5260,5260,170
,,B.A. (Hons.) Pol. Science,5260,5260,5260,170
,,B.Sc.Physical Science with Chemistry,6760,6760,6760,170
,,B.Sc.Physical Science with Computer,6760,6760,6760,170
,,B.Sc. (Hons.) Home Science,6060,6060,6060,170
,,B.Sc.  (Hons.) Physics,6760,6760,6760,170
6,Bharati College,B.A. (Hons.) English,10465,10465,10465,1075
,,B.A. (Hons.) Hindi,10465,10465,10465,1075
,,B.A. (Hons.) Sanskrit,10465,10465,10465,1075
,,B.A. (Hons.) History,10465,10465,10465,1075
,,B.A. (Hons.) Pol. Science,10465,10465,10465,1075
,,B. A. (Hons.) Journalism,10465,10465,10465,1075
,,B. Sc. (Hons.) Psychology,11965,11965,11965,1075
,,B. A (Hons.) Sociology,10465,10465,10465,1075
,,B. Sc. (Hons.) Maths,10465,10465,10465,1075
,,B. Com. (Hons),10465,10465,10465,1075
,,B. Com.,10465,10465,10465,1075
7,Bhaskaracharya College of Applied Sciences,B.Sc.(H)Biomedical Science,23020,23020,23020,9410
,,B.Sc. (H) Botany,13020,13020,13020,9410
,,B.Sc. (H) Chemistry,13020,13020,13020,9410
,,B.Sc. (H) Computer Science,28020,28020,28020,9410
,,B.Sc. (H) Electronics,13020,13020,13020,9410
,,B.Sc. (H) Food Technology,13020,13020,13020,9410
,,B.Sc. (H)Instrumentation,13020,13020,13020,9410
,,B.Sc. (H) Microbiology,13020,13020,13020,9410
,,B.Sc. (H) Physics,13020,13020,13020,9410
,,B.Sc. (H) Polymer Science,23020,23020,23020,9410
,,B.Sc. (H) Zoology,13020,13020,13020,9410
8,College of Vocational Studies,B.A.(VS) Office Management and Secretarial Practice,10150,10150,10150,75
,,B.A.(VS) Marketing Management and Retail Business,10150,10150,10150,75
,,B.A.(VS) Human Resource Management,10150,10150,10150,75
,,B.A.(VS) Small and Medium Enterprises,10150,10150,10150,75
,,B.A.(VS) Management and Marketing of Insurance,10150,10150,10150,75
,,B.A.(VS)Material Management,10150,10150,10150,75
,,B.A.(VS)TourismManagement,10150,10150,10150,75
,,B.COM (HONS.),10150,10150,10150,75
,,B.A.(Hons.)Economics,10150,10150,10150,75
,,B.A.(Hons.) History,10150,10150,10150,75
,,B.SC.(H) Computer  Science,41000,41000,41000,75
,,B.A.(Hons.) English,10150,10150,10150,75
,,B.A.(Hons.) Hindi,10150,10150,10150,75
,,B.A(H)Economics,15890,15890,15890,1155
,,B.A(H)English,15890,15890,15890,1155
,,B.A(H)Hindi,15890,15890,15890,1155
,,B.A(H)History,15890,15890,15890,1155
,,B.A(H)Music,16540,16540,16540,1155
,,B.A(H)Philosophy,15890,15890,15890,1155
,,B.A(H)Pol. Science,15890,15890,15890,1155
,,B.A(H)Psychology,17490,17490,17490,1155
,,B.A(H)Sanskrit,15890,15890,15890,1155
9,Daulat Ram College,B.A. Programme,**,**,**,1155
,,B.Com. (P),16890,16890,16890,1155
,,B.Com. (H),16890,16890,16890,1155
,,B.Sc(H)Biochemistry,19480,19480,19480,1155
,,B.Sc(H)Botany,19540,19540,19540,1155
,,B.Sc(H)Chemistry,19480,19480,19480,1155
,,B.Sc(H)Mathematics,18370,18370,18370,1155
,,B.Sc(H)Physics,19540,19540,19540,1155
,,B.Sc(H)Zoology,18570,18570,18570,1155
,,B.Sc. Life Sciences,18580,18580,18580,1155
,,,,,,
,,**,,,,
,,B.A. (Prog.) with Maths and Economics,18140,18140,18140,1155
,,B.A. (Prog.) with History and Pol. Science,15890,15890,15890,1155
,,B.A. (Prog.) with NHE and Music,17315,17315,17315,1155
,,B.A. (Prog.) with ESB and NHE,17340,17340,17340,1155
,,B.A.(Prog) with Philosophy & Psychology,17490,17490,17490,1155
,,"B.A.(Prog) with Physical Education and Political
Science",16290,16290,16290,1155
,,B.A. (Prog.) with Phy.Edu & Hindi,16290,16290,16290,1155
,,B.A. (Prog.) with Sanskrit and Music,16540,16540,16540,1155
,,B.A (Prog.) with History & English (Elec),15890,15890,15890,1155
,,B.A. (HONS.) ENGLISH,19545,19545,19545,1730
,,B.COM. (HONS.),18745,18745,18745,1730
,,B.SC. (HONS.) BOTANY,19345,19345,19345,1730
,,B.SC. (HONS.) CHEMISTRY,19345,19345,19345,1730
10,Deen Dayal Upadhyaya College,B.SC. (HONS.) COMPUTER SCIENCE,36145,36145,36145,1730
,,B.SC. (HONS.) ELECTRONICS,20345,20345,20345,1730
,,B.SC. (HONS.) MATHEMATICS,18945,18945,18945,1730
,,B.SC. (HONS.) PHYSICS,19345,19345,19345,1730
,,B.SC. (HONS.) ZOOLOGY,19345,19345,19345,1730
,,B.SC. LIFE SCIENCE,19745,19745,19745,1730
,,B.SC. PHYSICAL SCIENCE WITH CHEMISTRY,19345,19345,19345,1730
,,B.SC. PHYSICAL SCIENCE WITH COMP. SCIENCE,19345,19345,19345,1730
,,B.SC. MATHEMATICAL SCIENCE,19345,19345,19345,1730
,,B.A. PROGRAMME,18545,18545,18545,1730
11,Delhi College of Arts & Commerce,B.A. (Hons.) Economics,8495,8495,8495,105
,,B.A. (Hons.) English,8495,8495,8495,105
,,B.A. (Hons.) History,8495,8495,8495,105
,,B.A. (Hons.) Journalism,17845,17845,17845,105
,,B.A. (Hons.) Political Science,8495,8495,8495,105
,,B.A. (Prog.),9095,9095,9095,105
,,B.Com,8495,8495,8495,105
,,B.Com (Hons.),8495,8495,8495,105
,,B.A. PROGRAMME,9996,9296,9296,45
,,B.A. (H) ECONOMICS,9996,9296,9296,45
,,B.A. (H) ENGLISH,9996,9296,9296,45
,,B.A. (H) HINDI,9996,9296,9296,45
,,B.A. (H) HISTORY,9996,9296,9296,45
,,B.A. (H) POLITICAL SC.,9996,9296,9296,45
,,B.A. (H) SANSKRIT,9996,9296,9296,45
,,B.COM (H),12996,12296,12296,45
12,Deshbanndhu College,B.SC. LIFE SCIENCES,15050,14350,14350,45
,,B.SC. PHYSICAL SC.,15050,14350,14350,45
,,B.SC. (H) BIOCHEMISTRY,15050,14350,14350,45
,,B.SC. (H) BOTANY,15050,14350,14350,45
,,B.SC. (H) CHEMISTRY,15050,14350,14350,45
,,B.SC. (H) MATHS,15050,14350,14350,45
,,B.SC. (H) PHYSICS,15050,14350,14350,45
,,B.SC. (H) ZOOLOGY,15050,14350,14350,45
,,B.SC. COMPUTER SC.,15050,14350,14350,45
,,B.SC. INDUSTRIAL CHEM.,15050,14350,14350,45
13,Department of German and Romance Studies,BA(Hons) French,3046,3046,3046,16
,,BA(Hons) German,3046,3046,3046,16
,,BA(Hons) Spanish,3046,3046,3046,16
,,BA(Hons) Italian,3046,3046,3046,16
14,Dr. Bhim Rao Ambedkar College,BA,10715,10715,10715,55
,,BA (H) Applied Psychology,12895,12895,12895,55
,,B A (H) Geography,11245,11245,11245,55
,,B A (H) Hindi Journalism,12765,12765,12765,55
,,B A (H) History,10365,10365,10365,55
,,B A (H) Social Work,13075,13075,13075,55
,,B Com,10815,10815,10815,55
,,B Com (H),11915,11915,11915,55
,,B A (H) Economics,10265,10265,10265,55
,,B A (H) Hindi,10265,10265,10265,55
,,B.A.,12905,12905,12905,1070
,,B.Com,13505,13505,13505,1070
,,B.Com (H),13705,13705,13705,1070
,,B.A. (H) Hindi,13005,13005,13005,1070
,,B.A. (H) Economics,13005,13005,13005,1070
15,Dyal Singh College,B.A. (H) History,13005,13005,13005,1070
,,B.A.(H) Political Science,13105,13105,13105,1070
,,B.A.(H) English,13105,13105,13105,1070
,,B.A. (H) Geography,14705,14705,14705,1070
,,B.A. (H) Philosophy,13005,13005,13005,1070
,,B.A. (H) Punjabi,13005,13005,13005,1070
,,B.A. (H) Urdu,13005,13005,13005,1070
,,B.A. (H) Sanskrit,13005,13005,13005,1070
,,B.Sc. (H) Mathematics,14560,14560,14560,1070
,,B.Sc. (H) Physics,15960,15960,15960,1070
,,B.Sc. (H) Computer Science,15900,15900,15900,1070
,,B.Sc. (H) Botany,16460,16460,16460,1070
,,B.Sc. (H) Zoology,16260,16260,16260,1070
