Name of the College,Courses Offered (UG - Merit Based),UR,OBC,EWS,Minority,SC,ST,PwD
Acharya Narendra Dev College,bachelor of commerce (H),7965,7965,7965,7965,7965,7965,7965
Acharya Narendra Dev College,bachelor of Sciences (H) Biomedical Science,18965,18965,18965,18965,18965,18965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Botany,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Chemistry,8465,8465,8465,8465,8465,8465,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Computer Science,22965,22965,22965,22965,22965,22965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Electronics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Mathematics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Physics,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences (H) Zoology,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences Life Sciences,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences Physical Science with Chemistry,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences Physical Science with Computer Science,7965,7965,7965,7965,7965,7965,2555
Acharya Narendra Dev College,bachelor of Sciences Physical Science with Electronics,7965,7965,7965,7965,7965,7965,2555
Aditi Mahavidyalaya(W),bachelor of arts (Prog.),4160,4160,4160,4160,4160,4160,405
Aditi Mahavidyalaya(W),bachelor of arts (H) Geography,5660,5660,5660,5660,5660,5660,405
Aditi Mahavidyalaya(W),bachelor of arts (H) Hindi Journalism,7310,7310,7310,7310,7310,7310,405
Aditi Mahavidyalaya(W),bachelor of arts (H) Social Work,5710,5710,5710,5710,5710,5710,405
Aditi Mahavidyalaya(W),bachelor of commerce (H),5660,5660,5660,5660,5660,5660,405
Aditi Mahavidyalaya(W),bachelor of commerce (Prog.),5160,5160,5160,5160,5160,5160,405
Aryabhatta College,bachelor of arts (H) Economics,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (H) English,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (H) Hindi,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (H) History,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (H) Political Science,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (H) Psychology,15830,15830,15830,15830,15830,15830,784
Aryabhatta College,bachelor of Sciences (H) Computer Science,29130,29130,29130,29130,29130,29130,784
Aryabhatta College,bachelor of Sciences (H) Mathematics,15830,15830,15830,15830,15830,15830,784
Aryabhatta College,bachelor of commerce (H),13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of commerce,13830,13830,13830,13830,13830,13830,784
Aryabhatta College,bachelor of arts (Prog.) (History + Political Science),13830,13830,13830,13830,13830,13830,784
Atma Ram Sanatan Dharma College,bachelor of commerce ,10785,10785,10785,10785,10785,10785,525
Atma Ram Sanatan Dharma College,bachelor of commerce (H),12185,12185,12185,12185,12185,12185,525
Atma Ram Sanatan Dharma College,bachelor of arts (Prog.),10785,10785,10785,10785,10785,10785,525
Atma Ram Sanatan Dharma College,bachelor of arts (H) English,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,bachelor of arts (H) Hindi,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,bachelor of arts (H) History,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,bachelor of arts (H) Political Science,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,bachelor of arts (H) Economics,10985,10985,10985,10985,10985,10985,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (H) Physics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (H) Chemistry,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (H) Mathematics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (H) Electronics,12075,12075,12075,12075,12075,12075,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (H) Computer Science,50500,50500,50500,50500,50500,50500,38200
Atma Ram Sanatan Dharma College,bachelor of Sciences (Prog.) Physical Science Chemistry,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (Prog.) Physical Science Electronics,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,bachelor of Sciences (Prog.) Physical Science Computer Science,13345,13345,13345,13345,13345,13345,525
Atma Ram Sanatan Dharma College,"bachelor of Sciences (Prog.) Applied Physical Science Industrial Chemistry",13345,13345,13345,13345,13345,13345,525
Bhagini Nivedita College,bachelor of arts (Prog.),6060,6060,6060,6060,6060,6060,170
Bhagini Nivedita College,bachelor of commerce,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,bachelor of arts (H) Hindi,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,bachelor of arts (H) History,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,bachelor of arts (H) Pol. Science,5260,5260,5260,5260,5260,5260,170
Bhagini Nivedita College,bachelor of Sciences Physical Science with Chemistry,6760,6760,6760,6760,6760,6760,170
Bhagini Nivedita College,bachelor of Sciences Physical Science with Computer,6760,6760,6760,6760,6760,6760,170
Bhagini Nivedita College,bachelor of Sciences (H) Home Science,6060,6060,6060,6060,6060,6060,170
Bhagini Nivedita College,bachelor of Sciences  (H) Physics,6760,6760,6760,6760,6760,6760,170
Bharati College,bachelor of arts (H) English,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of arts (H) Hindi,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of arts (H) Sanskrit,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of arts (H) History,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of arts (H) Pol. Science,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of arts (H) Journalism,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of Sciences (H) Psychology,11965,11965,11965,11965,11965,11965,1075
Bharati College,bachelor of arts (H) Sociology,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of Sciences (H) mathematics,10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of commerce (H),10465,10465,10465,10465,10465,10465,1075
Bharati College,bachelor of commerce,10465,10465,10465,10465,10465,10465,1075
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Biomedical Science,23020,23020,23020,23020,23020,23020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Botany,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Chemistry,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Computer Science,28020,28020,28020,28020,28020,28020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Electronics,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Food Technology,13020,13020,13020,13020,13020,13020,9410
Bhaskaracharya College of Applied Sciences,bachelor of Sciences (H) Instrumentation,13020,13020,13020,13020,13020,13020,9410
